issuer_organization,credit_grade,option_adjusted_spread,holding_type,primary_sector,region_development_status
Federal National Mortgage Association,Investment Grade,-149.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,46.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Residential Accredit Loans Inc,Below Investment Grade,573.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,69.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,69.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,53.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,41.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,50.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,51.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,53.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,59.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,134.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,111.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,110.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,-8.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,106.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,75.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,55.0,Bond - Gov't Agency ARM,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,146.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Bear Stearns Alternative A Trust,Investment Grade,304.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Bear Stearns Alternative A Trust,Below Investment Grade,870.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Bear Stearns Asset Backed Securities I Trust,Below Investment Grade,1182.0,Bond - Asset Backed,Asset Backed,Developed
Bear Stearns Arm Trust,Below Investment Grade,927.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
CHL Mortgage Pass-Through Trust,Below Investment Grade,1607.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
CHL Mortgage Pass-Through Trust,Below Investment Grade,1547.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
CWABS Inc.,Investment Grade,191.0,Bond - Asset Backed,Asset Backed,Developed
Cwalt Incorporation,Below Investment Grade,8034.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Banc America Mortgage Securitites Inc,Below Investment Grade,388.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Banc Amer Alternative Loan Trust,Below Investment Grade,474.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Banc Amer Alternative Loan Trust,Below Investment Grade,450.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Banc Amer Alternative Loan Trust,Below Investment Grade,661.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Banc America Funding Trust,Below Investment Grade,826.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Bank of America Corp.,Below Investment Grade,462.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Bear Stearns Arm Trust,Investment Grade,392.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Bear Stearns Arm Trust,Below Investment Grade,396.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Mastr Seasoned Sec,Investment Grade,307.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Mastr Adjustable Rate Mortgages Trust,Below Investment Grade,2405.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Mastr Adjustable Rate Mortgages Trust,Investment Grade,231.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Mastr Adjustable Rate Mortgages Trust,Below Investment Grade,367.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Mastr Adjustable Rate Mortgages Trust,Below Investment Grade,394.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
GSamp Trust,Below Investment Grade,-488.0,Bond - Asset Backed,Asset Backed,Developed
Harborview Mtg Loan Trust,Investment Grade,283.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Banc America Mortgage Securitites Inc,Below Investment Grade,364.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Structured Asset Securities Corp.,Below Investment Grade,262.0,Bond - Asset Backed,Asset Backed,Developed
First Franklin Mortgage Loan Trust,Below Investment Grade,290.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Structured Adj Rate Mtg Loan Trust,Below Investment Grade,1706.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Truman Cap Mtg Ln,Investment Grade,75.0,Bond - Asset Backed,Asset Backed,Developed
Wamu Wmalt 07-0c1,Below Investment Grade,398.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
,,,Bond - Global Non-Agency CMO,,
Jupiter High-Grade Cdo III Ltd/Inc,Below Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Lehman Mortgage Trust,Below Investment Grade,23357.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Soundview Home Loan Trust,Below Investment Grade,189.0,Bond - Asset Backed,Asset Backed,Developed
Structured Adj Rate Mtg Loan Trust,Below Investment Grade,460.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Structured Adj Rate Mtg Loan Trust,Below Investment Grade,1856.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Structured Asset Securities Corp.,Below Investment Grade,278.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Structured Asset Securities Corp.,Below Investment Grade,242.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
"Merrill Lynch Mortgage Investors, Inc.",Below Investment Grade,2712.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Rfmsi Ser 2006-Sa3,,558.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Sequoia Mtg Trust,Investment Grade,344.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
WFRBS COMMERCIAL MORTGAGE TRUST,Investment Grade,98771.0,Bond - Global Non-Agency CMO,Commercial Mortgage Backed,Developed
Wachovia Mortgage Loan Trust LLC,Below Investment Grade,-46.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Structured Asset M,Below Investment Grade,2.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Structured Asset Mortgage Investments II Trust,Investment Grade,390.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Structured Asset Securities Corp.,Investment Grade,293.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Structured Asset Securities Corp.,Investment Grade,372.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Structured Asset Securities Corp.,Investment Grade,-142.0,Bond - Asset Backed,Asset Backed,Developed
JP Morgan Mortgage Trust,Investment Grade,351.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
JP Morgan Mortgage Trust,Investment Grade,277.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
JP Morgan Mortgage Trust,Below Investment Grade,,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,101.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,195.0,Bond - Gov't Agency ARM,Agency Mortgage Backed,Developed
Nomura Asset Acceptance Corp Alt Ln tr,Investment Grade,281.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
JP Morgan Mortgage Trust,Below Investment Grade,737.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
,,,Bond - Global Non-Agency CMO,,
JP Morgan Mortgage Trust,Below Investment Grade,266.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Jupiter High-Grade Cdo III Ltd/Inc,Below Investment Grade,,Bond - Asset Backed,Asset Backed,Developed
Federal National Mortgage Association,Investment Grade,227.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,127.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,154.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,39.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,47.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,36.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,51.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Fnma Pass-Thru I,,41.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,43.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,75.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,48.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,44.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,92.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,80.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,133.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,127.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,45.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,63.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,69.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,200.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,127.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,64.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,64.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,200.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,56.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,127.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,161.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,161.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,161.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,212.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,212.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
First Nlc Trust,Below Investment Grade,0.0,Bond - Asset Backed,Asset Backed,Developed
Government National Mortgage Association,Investment Grade,161.0,Bond - Gov't Agency ARM,Agency Mortgage Backed,Developed
GS Mortgage Securities Corp,Investment Grade,171.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Government National Mortgage Association,Investment Grade,88091.0,Bond - Gov't Agency CMO,Agency Mortgage Backed,Developed
Merrill Lynch Mtg Inv Trust,Investment Grade,315.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
United States Department of Veterans Affairs,,-161.0,Bond - Gov't Agency CMO,Asset Backed,Developed
,,,Preferred Stock,,
Washington Mut Mtg,Below Investment Grade,305.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
,,,Credit Default Swap,Swap,
,,,Bond - Global Non-Agency CMO,,
1ST Horizon Mtg,Below Investment Grade,-174.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
First Nlc Trust,Below Investment Grade,0.0,Bond - Asset Backed,Asset Backed,Developed
Fnma Pass-Thru I,,35.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,104.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,112.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,71.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,-230.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,113.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
JP Morgan Mortgage Trust,Below Investment Grade,404.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
JP Morgan Mortgage Trust,Investment Grade,241.0,Bond - Global Non-Agency CMO,Non-Agency Residential Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,341.0,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Federal Home Loan Mortgage Corp.,Investment Grade,,Bond - U.S. Agency Credit Risk CMO,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,-167.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,69.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,261.0,Bond - Gov't Agency ARM,Agency Mortgage Backed,Developed
Federal National Mortgage Association,Investment Grade,99.0,Bond - Gov't Agency Pass-Thru,Agency Mortgage Backed,Developed
